id,query,label,word_count,cleaned_query,augmented_data,tokens,lemmatized_data
1677,فرم اشتغال به تحصیل را چگونه بگیرم؟,1,8.0,فرم اشتغال به تحصیل را چگونه بگیرم,و اشتغال روز تحصیل را چگونه بدانیم,"['فرم', 'اشتغال', 'تحصیل', 'چگونه', 'بگیرم']","['فر', 'اشتغال', 'تحصیل', 'چگونه', 'گرفت#گیر']"
1678,لابی دانشکده بسیار کثیف است.,4,6.0,لابی دانشکده بسیار کثیف است,لابی دانشکده بسیار سرد شد,"['لابی', 'دانشکده', 'بسیار', 'کثیف', 'است']","['لابی', 'دانشکده', 'بسیار', 'کثیف', '#است']"
1679,چطور می شه شناسه بهشتی گرفت؟,1,7.0,چطور می‌شه شناسه بهشتی گرفت,فقط میشه شناسه منفی گرفت,"['چطور', 'می\u200cشه', 'شناسه', 'بهشتی', 'گرفت']","['چطور', 'می\u200cشه', 'شناسه', 'بهشتی', 'گرفت#گیر']"
1680,چگونه معدلمان را بیست کنیم؟,5,6.0,چگونه معدلمان را بیست کنیم,بایستی معدلمان رابه بیست کنیم,"['چگونه', 'معدلمان', 'بیست', 'کنیم']","['چگونه', 'معدل', 'بیست', 'کرد#کن']"
1681,درس ها انحصاری نشوند و توسط چند استاد ارائه شوند,4,10.0,درس‌ها انحصاری نشوند و توسط چند استاد ارائه شوند,درسها انحصاری باشند و توسط چند معلم ارايه دهند,"['درس\u200cها', 'انحصاری', 'نشوند', 'توسط', 'چند', 'استاد', 'ارائه', 'شوند']","['درس', 'انحصار', 'شد#شو', 'توسط', 'چند', 'استاد', 'ارائه', 'شد#شو']"
1682,آیا سیستم های سایت به کابل اینترنت وصل میشوند؟,3,10.0,آیا سیستم‌های سایت به کابل اینترنت وصل میشوند,ایا سیستمهای بیسیم به کیلو ولت وصل میشوند,"['آیا', 'سیستم\u200cهای', 'سایت', 'کابل', 'اینترنت', 'وصل', 'میشوند']","['آیا', 'سیستم\u200cهای', 'سایت', 'کابل', 'اینترنت', 'وصل', 'میشوند']"
1683,اگر در نظر سنجی شرکت نکنیم چی میشه؟,2,9.0,اگر در نظر سنجی شرکت نکنیم چی میشه,اگر در نظر اول بحث نکنیم جواب میشه,"['اگر', 'نظر', 'سنجی', 'شرکت', 'نکنیم', 'چی', 'میشه']","['اگر', 'نظر', 'سنج', 'شرکت', 'کرد#کن', 'چی', 'میشه']"
1684,از کجا میشه حذف ترم کرد؟,1,7.0,از کجا میشه حذف ترم کرد,دیگه کجا میشه نیم ترم کرد,"['کجا', 'میشه', 'حذف', 'ترم', 'کرد']","['کجا', 'میشه', 'حذف', 'تر', 'کرد#کن']"
1685,چراغ های لابی رو از کجا می شه روشن کرد؟,2,11.0,چراغ‌های لابی رو از کجا می‌شه روشن کرد,چراغهای اصلی ، از بالا میشه روشن کرد,"['چراغ\u200cهای', 'لابی', 'کجا', 'می\u200cشه', 'روشن', 'کرد']","['چراغ', 'لابی', 'کجا', 'می\u200cشه', 'روشن', 'کرد#کن']"
1686,استاد مهدیانی امتحان غیرمنطقی میگیره,4,5.0,استاد مهدیانی امتحان غیرمنطقی میگیره,عزیز مهدیانی امتحان شیمی میگیره,"['استاد', 'مهدیانی', 'امتحان', 'غیرمنطقی', 'میگیره']","['استاد', 'مهدیانی', 'امتحان', 'غیرمنطقی', 'میگیره']"
1687,کتابخونه رو کی اداره میکنه؟,3,6.0,کتابخونه رو کی اداره میکنه,کتابخونه رو باید اداره کنی,"['کتابخونه', 'کی', 'اداره', 'میکنه']","['کتابخونه', 'کی', 'اداره', 'میکنه']"
1688,استاد جواب اعتراضات به نمره را در گلستان نمیدهد، چکار کنم؟,1,13.0,استاد جواب اعتراضات به نمره را در گلستان نمیدهد چکار کنم,استاد جواب اعتراضات به نمره استاد در درس نمیدهد ؛ …,"['استاد', 'جواب', 'اعتراضات', 'نمره', 'گلستان', 'نمیدهد', 'چکار', 'کنم']","['استاد', 'جواب', 'اعتراضات', 'نمره', 'گلستان', 'نمیدهد', 'چکار', 'کرد#کن']"
1689,دانشکده صبح ها چه زمانی بازگشایی میشود؟,2,8.0,دانشکده صبح‌ها چه زمانی بازگشایی میشود,دانشکده صبحها سر موقع بازگشایی میشود,"['دانشکده', 'صبح\u200cها', 'چه', 'زمانی', 'بازگشایی', 'میشود']","['دانشکده', 'صبح', 'چه', 'زمان', 'بازگشایی', 'میشود']"
1690,کلا باید توی دوره کارشناسی چند واحد پاس کنیم؟,1,10.0,کلا باید توی دوره کارشناسی چند واحد پاس کنیم,کلا میتونی توی دوره کارشناسی کل پست پاس کنیم,"['کلا', 'باید', 'توی', 'دوره', 'کارشناسی', 'چند', 'واحد', 'پاس', 'کنیم']","['کلا', 'باید', 'تو', 'دوره', 'کارشناس', 'چند', 'واحد', 'پاس', 'کرد#کن']"
1691,آزمایشگاه شبکه رو پیدا نمی کنم، کجاست؟,2,9.0,آزمایشگاه شبکه رو پیدا نمی‌کنم کجاست,تا شبکه رو پیدا نمیکنم تا,"['آزمایشگاه', 'شبکه', 'پیدا', 'نمی\u200cکنم', 'کجاست']","['آزمایشگاه', 'شبکه', 'پیدا', 'کرد#کن', 'کجاست']"
1692,ترم تابستون هزینش چطوریه؟,1,5.0,ترم تابستون هزینش چطوریه,ترم تابستون شروع میکنم,"['ترم', 'تابستون', 'هزینش', 'چطوریه']","['تر', 'تابستون', 'هزینش', 'چطوریه']"
1693,نظرسنجی اساتید تا چه روزی مهلت داره؟,1,8.0,نظرسنجی اساتید تا چه روزی مهلت داره,شغل اساتید تا چه مجرایی اعتبار داره,"['نظرسنجی', 'اساتید', 'چه', 'روزی', 'مهلت', 'داره']","['نظرسنجی', 'اساتید', 'چه', 'روز', 'مهلت', 'داره']"
1694,سنوات چیست؟,1,3.0,سنوات چیست,مو چیست,"['سنوات', 'چیست']","['سنوات', 'چیست']"
1695,انجمن ها کجان؟,2,4.0,انجمن‌ها کجان,انجمنها ی,"['انجمن\u200cها', 'کجان']","['انجمن', 'کج']"
1696,تعداد واحدام به حدنصاب نریسده میتونید یه چندتا درس بدید؟,1,11.0,تعداد واحدام به حدنصاب نریسده میتونید یه چندتا درس بدید,تعداد واحدام به صدا نریسده شاید یه روز درس باشید,"['تعداد', 'واحدام', 'حدنصاب', 'نریسده', 'میتونید', 'یه', 'چندتا', 'درس', 'بدید']","['تعداد', 'واحدام', 'حدنصاب', 'نریسده', 'میتونید', 'یه', 'چندتا', 'درس', 'بدید']"
1697,میشود با خودم همراه به دانشکده بیاورم؟,2,8.0,میشود با خودم همراه به دانشکده بیاورم,بیایید تا خودم همراه به دانشکده بروی,"['میشود', 'خودم', 'همراه', 'دانشکده', 'بیاورم']","['میشود', 'خودم', 'همراه', 'دانشکده', 'آورد#آور']"
1698,آیا در این طبقه نمازخانه هست؟,1,7.0,آیا در این طبقه نمازخانه هست,ایا در کدام طبقه نمازخانه باقیست,"['آیا', 'این', 'طبقه', 'نمازخانه', 'هست']","['آیا', 'این', 'طبقه', 'نمازخانه', '#هست']"
1700,ساعت کاری آموزش دانشکده تا کی هست؟,2,8.0,ساعت کاری آموزش دانشکده تا کی هست,و کار یک دانشکده تا کی هست,"['ساعت', 'کاری', 'آموزش', 'دانشکده', 'کی', 'هست']","['ساعت', 'کاشت#کار', 'آموزش', 'دانشکده', 'کی', '#هست']"
1701,اینجا در کل چند طبقه است؟,2,7.0,اینجا در کل چند طبقه است,اینجا در کل ۹ طبقه ،,"['اینجا', 'کل', 'چند', 'طبقه', 'است']","['اینجا', 'کل', 'چند', 'طبقه', '#است']"
1702,نماز خانه دانشکده کجاست؟,2,5.0,نماز خانه دانشکده کجاست,اما خانه من کجاست,"['نماز', 'خانه', 'دانشکده', 'کجاست']","['نماز', 'خانه', 'دانشکده', 'کجاست']"
1704,دانشکده کامپیوتر چندتا دانشجو داره؟,2,6.0,دانشکده کامپیوتر چندتا دانشجو داره,اموزشگاه کامپیوتر ۲۵۰ دانشجو داره,"['دانشکده', 'کامپیوتر', 'چندتا', 'دانشجو', 'داره']","['دانشکده', 'کامپیوتر', 'چندتا', 'دانشجو', 'داره']"
1705,کجا باید مسافرت کرد؟,5,5.0,کجا باید مسافرت کرد,پس باید مسافرت کنید,"['کجا', 'باید', 'مسافرت', 'کرد']","['کجا', 'باید', 'مسافرت', 'کرد#کن']"
1707,آیا برای استفاده از کتابخانه کارت دانشجویی لازم است؟,3,10.0,آیا برای استفاده از کتابخانه کارت دانشجویی لازم است,ایا برای دانلود از کتابخانه کارت ملی فعال است,"['آیا', 'استفاده', 'کتابخانه', 'کارت', 'دانشجویی', 'لازم', 'است']","['آیا', 'استفاده', 'کتابخانه', 'کارت', 'دانشجویی', 'لازم', '#است']"
1708,آز فیزیک کجا برگزار میشود؟,1,6.0,آز فیزیک کجا برگزار میشود,از فیزیک بخواهم برگزار کنم,"['آز', 'فیزیک', 'کجا', 'برگزار', 'میشود']","['آز', 'فیزیک', 'کجا', 'برگزار', 'میشود']"
1709,رمز عبور اولیه برای ورود به سایت چیست؟,3,9.0,رمز عبور اولیه برای ورود به سایت چیست,سیاست گزاری مناسب برای ورود به سایت چیست,"['رمز', 'عبور', 'اولیه', 'ورود', 'سایت', 'چیست']","['رمز', 'عبور', 'اولیه', 'ورود', 'سایت', 'چیست']"
1710,آیا حقوق زنان ومردان باهم برابر است؟,5,8.0,آیا حقوق زنان ومردان باهم برابر است,ایا حقوق جوانان مسلمان باهم برابر شد,"['آیا', 'حقوق', 'زنان', 'ومردان', 'باهم', 'برابر', 'است']","['آیا', 'حقوق', 'زن', 'ومردان', 'باهم', 'برابر', '#است']"
1711,فیلم های آموزشی هم از سایت می توان تهیه کرد؟,3,11.0,فیلم‌های آموزشی هم از سایت می‌توان تهیه کرد,عکسهای ارزانقیمت هم از سینما میتوان تهیه کرد,"['فیلم\u200cهای', 'آموزشی', 'هم', 'سایت', 'می\u200cتوان', 'تهیه', 'کرد']","['فیلم', 'آموزش', 'هم', 'سایت', 'می\u200cتوان', 'تهیه', 'کرد#کن']"
1712,انتشارات دانشکده کجاست؟,2,4.0,انتشارات دانشکده کجاست,انتشارات سخن کجاست,"['انتشارات', 'دانشکده', 'کجاست']","['انتشارات', 'دانشکده', 'کجاست']"
1713,دانشکده شب ها تا کی بازه؟,2,7.0,دانشکده شب‌ها تا کی بازه,از شبها تا کی خاموش,"['دانشکده', 'شب\u200cها', 'کی', 'بازه']","['دانشکده', 'شب', 'کی', 'بازه']"
1714,کلاس ها را حضوری نمی کنید؟,4,7.0,کلاس‌ها را حضوری نمی‌کنید,چیزی را متوقف نمیکنید,"['کلاس\u200cها', 'حضوری', 'نمی\u200cکنید']","['کلاس', 'حضور', 'کرد#کن']"
1715,حقوق اساتید چقدر است؟,5,5.0,حقوق اساتید چقدر است,لیست اساتید چقدر بود,"['حقوق', 'اساتید', 'چقدر', 'است']","['حقوق', 'اساتید', 'چقدر', '#است']"
1716,کتابخانه الکترونیکی دانشگاه با کجا لینک است؟,3,8.0,کتابخانه الکترونیکی دانشگاه با کجا لینک است,نام ان دانشگاه با دو لینک است,"['کتابخانه', 'الکترونیکی', 'دانشگاه', 'کجا', 'لینک', 'است']","['کتابخانه', 'الکترونیک', 'دانشگاه', 'کجا', 'لینک', '#است']"
1717,توزیع های لینوکسی رو باید از نت بگیرم یا یه سروری تو دانشکده راتش ؟,3,15.0,توزیع‌های لینوکسی رو باید از نت بگیرم یا یه سروری تو دانشکده راتش,توزیعهای پیش رو باید از نت دو یا با سروری و همه راتش,"['توزیع\u200cهای', 'لینوکسی', 'باید', 'نت', 'بگیرم', 'یه', 'سروری', 'دانشکده', 'راتش']","['توزیع', 'لینوکس', 'باید', 'نت', 'گرفت#گیر', 'یه', 'سرور', 'دانشکده', 'راتش']"
1718,تصادف کردی؟,5,3.0,تصادف کردی,تصادف ؟,"['تصادف', 'کردی']","['تصادف', 'کردی']"
1719,کی کلاسها حضوری میشن؟,4,5.0,کی کلاسها حضوری میشن,کمکم یکی حضوری میشن,"['کی', 'کلاسها', 'حضوری', 'میشن']","['کی', 'کلاس', 'حضور', 'میشن']"
1721,چگونه آدم موفقی باشم؟,5,5.0,چگونه آدم موفقی باشم,میکنید ادم موفقی ؟,"['چگونه', 'آدم', 'موفقی', 'باشم']","['چگونه', 'آدم', 'موفق', 'بود#باش']"
1722,روز های استفاده از استخر دانشگاه برای بانوان چیه؟,2,10.0,روز‌های استفاده از استخر دانشگاه برای بانوان چیه,و صرفنظر از ظرفیت دانشگاه برای بانوان چیه,"['روز\u200cهای', 'استفاده', 'استخر', 'دانشگاه', 'بانوان', 'چیه']","['روز', 'استفاده', 'استخر', 'دانشگاه', 'بانوان', 'چیه']"
1723,مهلت حذف تک درس تا کیه ؟,1,7.0,مهلت حذف تک درس تا کیه,مهلت تکرار این درس تا کیه,"['مهلت', 'حذف', 'تک', 'درس', 'کیه']","['مهلت', 'حذف', 'تک', 'درس', 'کیه']"
1724,آیا می توان دروس اختیاری را از دانشکده های دیگر برداشت؟,1,12.0,آیا می‌توان دروس اختیاری را از دانشکده‌های دیگر برداشت,ایا میتوانیم بخش اختیاری را از دانشکدههای دیگر برگرفت,"['آیا', 'می\u200cتوان', 'دروس', 'اختیاری', 'دانشکده\u200cهای', 'دیگر', 'برداشت']","['آیا', 'می\u200cتوان', 'دروس', 'اختیار', 'دانشکده', 'دیگر', 'برداشت']"
1725,دروس کاربردی بیشتری به چارت اضافه کنید.,4,8.0,دروس کاربردی بیشتری به چارت اضافه کنید,دروس کاربردی چارت به چارت ترجمه میشوند,"['دروس', 'کاربردی', 'بیشتری', 'چارت', 'اضافه', 'کنید']","['دروس', 'کاربرد', 'بیشتر', 'چارت', 'اضافه', 'کرد#کن']"
1726,زمان آخرین کلاس قبل عید چیه؟,1,7.0,زمان آخرین کلاس قبل عید چیه,زمان اخرین کلاس دانش دیگه چیه,"['زمان', 'آخرین', 'کلاس', 'قبل', 'عید', 'چیه']","['زمان', 'آخرین', 'کلاس', 'قبل', 'عید', 'چیه']"
1727,سیستم گرمایشی خرابه لطفا تعمیرش کنید,4,6.0,سیستم گرمایشی خرابه لطفا تعمیرش کنید,سیستم گرمایشی ایران الان مطالعه کنید,"['سیستم', 'گرمایشی', 'خرابه', 'لطفا', 'تعمیرش', 'کنید']","['سیستم', 'گرمایشی', 'خرابه', 'لطفا', 'تعمیر', 'کرد#کن']"
1728,سلف دانشگاه کجاست,2,3.0,سلف دانشگاه کجاست,سلف دانشگاه جم,"['سلف', 'دانشگاه', 'کجاست']","['سلف', 'دانشگاه', 'کجاست']"
1729,بین دو ترم فرجه داریم؟,1,6.0,بین دو ترم فرجه داریم,هر دو ولایت فرجه داریم,"['بین', 'دو', 'ترم', 'فرجه', 'داریم']","['بین', 'دو', 'تر', 'فرجه', 'داشت#دار']"
1730,تا ساعت چند میتونم در دانشکده باشم؟,2,8.0,تا ساعت چند میتونم در دانشکده باشم,نمیتوانستم حتی چند شب در دانشکده باشم,"['ساعت', 'چند', 'میتونم', 'دانشکده', 'باشم']","['ساعت', 'چند', 'میتونم', 'دانشکده', 'بود#باش']"
1731,چه روز هایی دانشکده تعطیل است؟,2,7.0,چه روز هایی دانشکده تعطیل است,چه روز هایی دانشکده که …,"['چه', 'روز', 'هایی', 'دانشکده', 'تعطیل', 'است']","['چه', 'روز', 'هایی', 'دانشکده', 'تعطیل', '#است']"
1732,کتاب های دست نویس هم دارین تو قفسه ها؟,3,10.0,کتاب‌های دست نویس هم دارین تو قفسه‌ها,کتابهای دست نویس هم که میفهمید کجاست,"['کتاب\u200cهای', 'دست', 'نویس', 'هم', 'دارین', 'قفسه\u200cها']","['کتاب', 'دست', 'نویس', 'هم', 'دارین', 'قفسه']"
1733,اخرین چاپ کتاب الگوریتم را دارید؟,3,7.0,اخرین چاپ کتاب الگوریتم را دارید,اخرین تماشای کتاب بعدی را دارید,"['اخرین', 'چاپ', 'کتاب', 'الگوریتم', 'دارید']","['اخرین', 'چاپ', 'کتاب', 'الگوریتم', 'داشت#دار']"
1734,تاریخ حذف و اضافه چه روزی است؟,1,8.0,تاریخ حذف و اضافه چه روزی است,تاریخ مصرف تنها اضافه کردن روزی است,"['تاریخ', 'حذف', 'اضافه', 'چه', 'روزی', 'است']","['تاریخ', 'حذف', 'اضافه', 'چه', 'روز', '#است']"
1735,چگونه تغییر رشته بدهم؟,1,5.0,چگونه تغییر رشته بدهم,چگونه علاقهتان نشان بدهم,"['چگونه', 'تغییر', 'رشته', 'بدهم']","['چگونه', 'تغییر', 'رشته', 'داد#ده']"
1736,غذاهای سلف خوبه؟,5,4.0,غذاهای سلف خوبه,غذاهای سلف سرویس,"['غذاهای', 'سلف', 'خوبه']","['غذا', 'سلف', 'خوبه']"
1737,به جای سیستم گلستان سیتسم جدیدی رو بیارین.,4,9.0,به جای سیستم گلستان سیتسم جدیدی رو بیارین,با تازگی سیستم گلستان سیتسم جدیدی رو با,"['جای', 'سیستم', 'گلستان', 'سیتسم', 'جدیدی', 'بیارین']","['جای', 'سیستم', 'گلستان', 'سیتسم', 'جدید', 'بیارین']"
1738,تا کی وقت داریم مدارکمون رو تکمیل کنیم,1,8.0,تا کی وقت داریم مدارکمون رو تکمیل کنیم,هیچ کی وقت داریم مدارکمون رو مهر کنن,"['کی', 'وقت', 'داریم', 'مدارکمون', 'تکمیل', 'کنیم']","['کی', 'وقت', 'داشت#دار', 'مدارکمون', 'تکمیل', 'کرد#کن']"
1739,فشار درسی را در کلاس های مجازی کمتر کنید,4,9.0,فشار درسی را در کلاس‌های مجازی کمتر کنید,فشار اضافی رو درزمان کلاسهای مجازی کمتر کنید,"['فشار', 'درسی', 'کلاس\u200cهای', 'مجازی', 'کمتر', 'کنید']","['فشار', 'درس', 'کلاس', 'مجاز', 'کمتر', 'کرد#کن']"
1740,می شه درب اتاق 103 رو باز کنید؟ چون قفله.,2,12.0,می‌شه درب اتاق رو باز کنید چون قفله,میشه هر اتاق رو فرض کنید که قفله,"['می\u200cشه', 'درب', 'اتاق', 'باز', 'کنید', 'قفله']","['می\u200cشه', 'درب', 'اتاق', 'باز', 'کرد#کن', 'قفله']"
1741,نوع حکومت انگلستان چیست؟,5,5.0,نوع حکومت انگلستان چیست,خط بافندگی انگلستان چیست,"['نوع', 'حکومت', 'انگلستان', 'چیست']","['نوع', 'حکومت', 'انگلستان', 'چیست']"
1742,استفاده از سایت محدودیت زمانی دارد؟,3,7.0,استفاده از سایت محدودیت زمانی دارد,استفاده از سایت اطلاعات زمانی برای,"['استفاده', 'سایت', 'محدودیت', 'زمانی', 'دارد']","['استفاده', 'سایت', 'محدودیت', 'زمان', 'داشت#دار']"
1743,نرم افزار فتوشاپ روی سیستمی از سایت نصب هست؟,3,10.0,نرم افزار فتوشاپ روی سیستمی از سایت نصب هست,نرم کاربری فتوشاپ با سیستمی از سایت فعال هست,"['نرم', 'افزار', 'فتوشاپ', 'روی', 'سیستمی', 'سایت', 'نصب', 'هست']","['نرم', 'افزار', 'فتوشاپ', 'روی', 'سیستمی', 'سایت', 'نصب', '#هست']"
1745,آیا کنکور ارشد آسونه؟,5,5.0,آیا کنکور ارشد آسونه,ایا اون خوب اسونه,"['آیا', 'کنکور', 'ارشد', 'آسونه']","['آیا', 'کنکور', 'ارشد', 'آسونه']"
1746,حمایت مالی از انجمن ها و گروه های علمی دانشگاه,4,10.0,حمایت مالی از انجمن‌ها و گروه‌های علمی دانشگاه,دعوت از از سازمانها و گروههای علمی دانشگاه,"['حمایت', 'مالی', 'انجمن\u200cها', 'گروه\u200cهای', 'علمی', 'دانشگاه']","['حمایت', 'مالی', 'انجمن', 'گروه', 'علم', 'دانشگاه']"
1747,شرایط اخذ وام متاهلین چیست؟,2,6.0,شرایط اخذ وام متاهلین چیست,شرایط اخذ ویزا متاهلین با,"['شرایط', 'اخذ', 'وام', 'متاهلین', 'چیست']","['شرایط', 'اخذ', 'وام', 'متاهلین', 'چیست']"
1748,یک درس رو همراه با پیش نیازش میشه باهم برداشت؟,1,11.0,یک درس رو همراه با پیش نیازش میشه باهم برداشت,دو درس بدیهی همراه با پیش نیازش میشه شمرد برداشت,"['یک', 'درس', 'همراه', 'پیش', 'نیازش', 'میشه', 'باهم', 'برداشت']","['یک', 'درس', 'همراه', 'پیش', 'نیاز', 'میشه', 'باهم', 'برداشت']"
1749,می خواستم دکتر صفائی رو ببینم.,2,7.0,می‌خواستم دکتر صفائی رو ببینم,میخواستم اثر سرطان رو ببینم,"['می\u200cخواستم', 'دکتر', 'صفائی', 'ببینم']","['خواست#خواه', 'دکتر', 'صفائی', 'ببینم']"
1750,دستگاه قهوه چگونه کار می,5,5.0,دستگاه قهوه چگونه کار می,دستگاه تمیز کردن کار می,"['دستگاه', 'قهوه', 'چگونه', 'کار', 'می']","['دستگاه', 'قهوه', 'چگونه', 'کار', 'می']"
1751,چرا درس های پروژه دار را پروژه ای تعریف نمیکنید؟,4,11.0,چرا درس‌های پروژه دار را پروژه‌ای تعریف نمیکنید,اصلا فیلم موضوع دار را پروژهای تعریف نمیکنید,"['چرا', 'درس\u200cهای', 'پروژه', 'دار', 'پروژه\u200cای', 'تعریف', 'نمیکنید']","['چرا', 'درس', 'پروژه', 'دار', 'پروژه', 'تعریف', 'نمیکنید']"
1752,شرایط امتحانات زیادی سخت هستند.,4,6.0,شرایط امتحانات زیادی سخت هستند,شرایط روحی زیادی سخت هست,"['شرایط', 'امتحانات', 'زیادی', 'سخت', 'هستند']","['شرایط', 'امتحانات', 'زیاد', 'سخت', '#هست']"
1753,ساعت کاری دانشگاه تا کی است؟,2,7.0,ساعت کاری دانشگاه تا کی است,ساعت اخر دانشگاه تان کی است,"['ساعت', 'کاری', 'دانشگاه', 'کی', 'است']","['ساعت', 'کاشت#کار', 'دانشگاه', 'کی', '#است']"
1754,تا کی میتونم کتاب رو تحویل بدم؟,3,8.0,تا کی میتونم کتاب رو تحویل بدم,تا کی میتونم کتاب اونو پرینت بگیری,"['کی', 'میتونم', 'کتاب', 'تحویل', 'بدم']","['کی', 'میتونم', 'کتاب', 'تحویل', 'بد']"
1755,کتابخانه دانشگاه کجا می باشد؟,2,6.0,کتابخانه دانشگاه کجا می‌باشد,کتابخانه حافظ کجا و,"['کتابخانه', 'دانشگاه', 'کجا', 'می\u200cباشد']","['کتابخانه', 'دانشگاه', 'کجا', 'بود#باش']"
1756,برای کار در حوزه هوش مصنوعی از کجا شروع کنیم؟,5,11.0,برای کار در حوزه هوش مصنوعی از کجا شروع کنیم,برای کار روی ساخت الیاف مصنوعی از کجا شروع کنیم,"['کار', 'حوزه', 'هوش', 'مصنوعی', 'کجا', 'شروع', 'کنیم']","['کار', 'حوزه', 'هوش', 'مصنوع', 'کجا', 'شروع', 'کرد#کن']"
1757,نتیجه ترکیب رنگ های آبی و قرمز چیه؟,5,9.0,نتیجه ترکیب رنگ‌های آبی و قرمز چیه,پس تفاوت رنگهای ابی یا قرمز چیه,"['نتیجه', 'ترکیب', 'رنگ\u200cهای', 'آبی', 'قرمز', 'چیه']","['نتیجه', 'ترکیب', 'رنگ', 'آب', 'قرمز', 'چیه']"
1758,فلان استاد بین بچه ها فرق میزاره,4,7.0,فلان استاد بین بچه‌ها فرق میزاره,یه استاد بین بچهها خدمت میکنه,"['فلان', 'استاد', 'بین', 'بچه\u200cها', 'فرق', 'میزاره']","['فلان', 'استاد', 'بین', 'بچه', 'فرق', 'میزاره']"
1759,برای استفاده از کتاب های کتابخانه آیا به کارت نیاز است ؟,3,12.0,برای استفاده از کتاب‌های کتابخانه آیا به کارت نیاز است,برای استفاده ، بخش کتابخانه ایا به کارت نیازمند است,"['استفاده', 'کتاب\u200cهای', 'کتابخانه', 'آیا', 'کارت', 'نیاز', 'است']","['استفاده', 'کتاب', 'کتابخانه', 'آیا', 'کارت', 'نیاز', '#است']"
1760,چطوری فایل تکالیفم رو آپلود کنم؟,5,7.0,چطوری فایل تکالیفم رو آپلود کنم,چطوری باید اینترنت رو اپلود بکنم,"['چطوری', 'فایل', 'تکالیفم', 'آپلود', 'کنم']","['چطور', 'فایل', 'تکالیف', 'آپلود', 'کرد#کن']"
1761,کتابخانه صبح از ساعت چند باز است؟,3,8.0,کتابخانه صبح از ساعت چند باز است,درب دانشگاه از شماره چند باز است,"['کتابخانه', 'صبح', 'ساعت', 'چند', 'باز', 'است']","['کتابخانه', 'صبح', 'ساعت', 'چند', 'باز', '#است']"
1762,چجوری میتونم با اساتید حرف بزنم؟,2,7.0,چجوری میتونم با اساتید حرف بزنم,ولی میتونم برای اساتید حرف بزنم,"['چجوری', 'میتونم', 'اساتید', 'حرف', 'بزنم']","['چجوری', 'میتونم', 'اساتید', 'حرف', 'زد#زن']"
1763,اگر عضو نباشیم نمیتونیم کتاب بگیریم؟,3,7.0,اگر عضو نباشیم نمیتونیم کتاب بگیریم,تا عضو نباشیم نمیتونیم کتاب بکشیم,"['اگر', 'عضو', 'نباشیم', 'نمیتونیم', 'کتاب', 'بگیریم']","['اگر', 'عضو', 'بود#باش', 'نمیتونیم', 'کتاب', 'گرفت#گیر']"
1764,کتاب های نشر روشن رو دارین؟,3,7.0,کتاب‌های نشر روشن رو دارین,تو ماه روشن رو دارین,"['کتاب\u200cهای', 'نشر', 'روشن', 'دارین']","['کتاب', 'نشر', 'روشن', 'دارین']"
1766,انتخاب واحد ترم تابستون کی هست,1,6.0,انتخاب واحد ترم تابستون کی هست,انتخاب واحد ترم شما کی میگذرد,"['انتخاب', 'واحد', 'ترم', 'تابستون', 'کی', 'هست']","['انتخاب', 'واحد', 'تر', 'تابستون', 'کی', '#هست']"
1767,رتبه معدل من چند است ؟,1,6.0,رتبه معدل من چند است,رتبه معدل نیز ۸۴ است,"['رتبه', 'معدل', 'چند', 'است']","['رتبه', 'معدل', 'چند', '#است']"
1768,اساتید بیشتری جذب کنید.,4,5.0,اساتید بیشتری جذب کنید,اساتید ما قبول کنید,"['اساتید', 'بیشتری', 'جذب', 'کنید']","['اساتید', 'بیشتر', 'جذب', 'کرد#کن']"
1769,جند ترم مشروط بشم اخراج میشم؟,1,7.0,جند ترم مشروط بشم اخراج میشم,جند وقته مشروط بشم ناامید میشم,"['جند', 'ترم', 'مشروط', 'بشم', 'اخراج', 'میشم']","['جند', 'تر', 'مشروط', 'بشم', 'اخراج', 'میشم']"
1770,رییس کل دانشکده کجا هست؟,2,6.0,رییس کل دانشکده کجا هست,ریاست کل دانشکده فیزیک هست,"['رییس', 'کل', 'دانشکده', 'کجا', 'هست']","['رییس', 'کل', 'دانشکده', 'کجا', '#هست']"
1772,در چه زمینه هایی دانشکده در کشور ممتاز است؟,5,10.0,در چه زمینه هایی دانشکده در کشور ممتاز است,برای بعضی زمینه هایی دانشگاه در کشور ممتاز است,"['چه', 'زمینه', 'هایی', 'دانشکده', 'در', 'کشور', 'ممتاز', 'است']","['چه', 'زمینه', 'هایی', 'دانشکده', 'در', 'کشور', 'ممتاز', '#است']"
1773,صفحه اینستاگرام دانشکده؟,2,4.0,صفحه اینستاگرام دانشکده,صفحه ۷۹ دانشکده,"['صفحه', 'اینستاگرام', 'دانشکده']","['صفحه', 'اینستاگرام', 'دانشکده']"
1775,لطفا فرجه برای امتحانات قرار دهید,4,6.0,لطفا فرجه برای امتحانات قرار دهید,۱۰۰ فرجه برای امتحانات قرار بدهید,"['لطفا', 'فرجه', 'امتحانات', 'قرار', 'دهید']","['لطفا', 'فرجه', 'امتحانات', 'قرار', 'داد#ده']"
1776,از ها ارايه میشن,1,4.0,از‌ها ارایه میشن,ازها میبینید ؟,"['از\u200cها', 'ارایه', 'میشن']","['از', 'ارایه', 'میشن']"
1777,به دنبال شغل هستم.,5,5.0,به دنبال شغل هستم,به امید تو هستم,"['دنبال', 'شغل', 'هستم']","['دنبال', 'شغل', '#هست']"
